chart_id,chart_type,label_index,pseudo_gold,sample_id,status,outcome_2pct
2a6cb688ecc10d292c729ab031e3cd051a46617a5f14a587e6f455447e18c5a1,line,0,8.0,fgmvp_0130,accepted,correct_within_2pct
3570cd6566e81f7ef55f3b2ae5b5c7e35bd82e702597c16f2be5984a8e9d85c3,bar,0,18.9,fgmvp_0131,accepted,correct_within_2pct
3570cd6566e81f7ef55f3b2ae5b5c7e35bd82e702597c16f2be5984a8e9d85c3,bar,1,13.2,,construction_failed,construction_failed
588ddda36fa7ed9119c1dfc7b44a66fb386c30a52360356b2eb6e0b0ae026fb8,bar,0,127.0,fgmvp_0132,accepted,correct_within_2pct
588ddda36fa7ed9119c1dfc7b44a66fb386c30a52360356b2eb6e0b0ae026fb8,bar,1,87.0,fgmvp_0133,accepted,correct_within_2pct
588ddda36fa7ed9119c1dfc7b44a66fb386c30a52360356b2eb6e0b0ae026fb8,bar,2,81.0,fgmvp_0134,accepted,correct_within_2pct
4e134f86b7106e0d34f3eb6716459454737b738ad14f804e07e254d18bd829d8,line,0,20.0,fgmvp_0135,accepted,geometry_error_gt_2pct
8f567d7578e2d056c3c4876afad3aa025cbec4d3101647a605228ac787a31943,bar,0,667.0,fgmvp_0136,accepted,correct_within_2pct
50cf0aaed5e06b81e22be7650be66be4aef86658d030630bc6ee17d9e9e6ddc9,bar,0,53.0,fgmvp_0137,accepted,correct_within_2pct
50cf0aaed5e06b81e22be7650be66be4aef86658d030630bc6ee17d9e9e6ddc9,bar,1,46.0,fgmvp_0138,accepted,correct_within_2pct
50cf0aaed5e06b81e22be7650be66be4aef86658d030630bc6ee17d9e9e6ddc9,bar,2,28.0,fgmvp_0139,accepted,correct_within_2pct
02fbe52b0addee5150272781d9f1cd9034dff40bb5674f6f804a0c50ef7cda29,line,0,2.9,fgmvp_0140,accepted,correct_within_2pct
ebf6813a9079ff1288c7e3da265c78cedd9305e335bfcd2b07606fe1207656a3,bar,0,10.6,fgmvp_0141,accepted,correct_within_2pct
ebf6813a9079ff1288c7e3da265c78cedd9305e335bfcd2b07606fe1207656a3,bar,1,6.0,fgmvp_0142,accepted,correct_within_2pct
ebf6813a9079ff1288c7e3da265c78cedd9305e335bfcd2b07606fe1207656a3,bar,2,2.6,fgmvp_0143,accepted,correct_within_2pct
ebf6813a9079ff1288c7e3da265c78cedd9305e335bfcd2b07606fe1207656a3,bar,3,3.9,fgmvp_0144,accepted,correct_within_2pct
ebf6813a9079ff1288c7e3da265c78cedd9305e335bfcd2b07606fe1207656a3,bar,4,14.0,,construction_failed,construction_failed
ebf6813a9079ff1288c7e3da265c78cedd9305e335bfcd2b07606fe1207656a3,bar,5,2.6,fgmvp_0145,accepted,correct_within_2pct
9175667f3f4a4e0b8cf566458b7676b4a30dfbad866efeb5c949d1a6063cf0a9,bar,0,3.0,,construction_failed,construction_failed
9175667f3f4a4e0b8cf566458b7676b4a30dfbad866efeb5c949d1a6063cf0a9,bar,1,8.0,,construction_failed,construction_failed
