stage,chart_id,chart_kind,sample_id,status,reason
construction,831efdf5408cdffad6ee9deae12dbc2ec0beb864a7bbf17040568b8800901f63,multi_line,,accepted,
construction,83508843d8670a6d9c699f62d1b994ef4752c2ff49283d0a60aec6bed4fe82b7,multi_line,,bar_line_combination_out_of_scope,
construction,8496492e3f0e3abe21eaa5c76a8cd2fec8d98ce921f9eaab9ca4dc1d78b419e7,multi_line,,bar_line_combination_out_of_scope,
construction,859985823fb9f665b64de0e78e12e02c17933f96779ef9b89b6d22a4e9048d35,single_line,,bar_line_combination_out_of_scope,
construction,881025067b60be71eaf10afd9ad874b4091d8789fc91feff70658d478a1add00,multi_line,,rejected,crop_ocr_did_not_confirm_value
construction,881025067b60be71eaf10afd9ad874b4091d8789fc91feff70658d478a1add00,multi_line,,accepted,
construction,8834a8fe7073b3c9388baf6db37cbd2716b3eb0118e1173b1c41a5a70d81541f,single_line,,no_coherent_x_anchor_sequence,
construction,89400a0c0ffff68dc030a752953eb7e67a2f9c275829ecb7ed91d741ef0b495e,single_line,,no_coherent_x_anchor_sequence,
construction,89de167244ff5b34975cbca36fa62b9d2ac8ef3c25d911216aa40d9590640ad6,single_line,,bar_line_combination_out_of_scope,
construction,8c757ab5463e2793283bdcd43ca8e711e60cc7b80c7bb5329d3d3f409fa27758,single_line,,bar_line_combination_out_of_scope,
construction,8e6dd4338e559d56ac3418d6586c4d17812c058d6f56e9d7ef056d225125943a,multi_line,,no_coherent_x_anchor_sequence,
construction,8fb8641d45a0bbcd61946561af242399cb03abc2a8964f563872c4fb55d68d5a,multi_line,,accepted,
construction,93544dfd13510ff95fed9b9c64009f36aa529bed85a6f6d4cac9de03497c7d5d,multi_line,,accepted,
construction,9618fed7516b1f7e5d6af9b55f48b0a7f55c25a09ebe86fb128a53ef76eab1dc,single_line,,bar_line_combination_out_of_scope,
construction,96be526cd76c86a13976e64115ce7518354f1ebe285fbd1a3f6c79d3ca7149cc,multi_line,,no_coherent_x_anchor_sequence,
construction,985afbc4862f201fbc7517def4435b41600e8d4e9401d2367cf3983ead2a0947,single_line,,bar_line_combination_out_of_scope,
construction,9a49e552f15612e230a124c109d689233022b39702dc05308e1b1d26a0d050e8,single_line,,bar_line_combination_out_of_scope,
construction,9b1ce1a6fe185a541f371e2d442aef26be3d861333d82de41a5f979bca8b4e6e,single_line,,no_coherent_x_anchor_sequence,
construction,9b3b936922b9dc9d2c7b4eb553bbe54e4c8fb214612e210dc3e913c23fa097a9,multi_line,,bar_line_combination_out_of_scope,
construction,9bd52a3c07884e5318378a70f932c4da5ce44575e79b6d7c3b5ce0e45ae9bda2,multi_line,,bar_line_combination_out_of_scope,
construction,9efe1402c083bf79684f6e713f4071cd47b949e49f35484631191aad18da0102,multi_line,,no_coherent_x_anchor_sequence,
construction,9fc83b1494ab964c024c321b8cf30ad12ed6560024fa5609f44ff44fe77c8aab,multi_line,,bar_line_combination_out_of_scope,
construction,a08d9372415be04e7f4e30622466edc2520ff8d0e32042bebb04545e97c80d63,multi_line,,bar_line_combination_out_of_scope,
construction,a0b47eb2b96478aef9d4153530745d6f9c5d0ca9ae2eea829ca619526e513389,multi_line,,rejected,no_series_pixels_near_gold_y
construction,a0b47eb2b96478aef9d4153530745d6f9c5d0ca9ae2eea829ca619526e513389,multi_line,,no_label_accepted,
construction,a15fb0753ed7bacd0e1b5ba82d6b05c5c72e89ca58c55e7d453e518c33d63bf8,multi_line,,no_coherent_x_anchor_sequence,
construction,a37b96d341b04975de898761bdbd563dfcbae45f1bdb13cac29185501ba1fcbc,multi_line,,no_coherent_x_anchor_sequence,
construction,a3838158c37d6e9b156dfbc61362744a3bcd6a2d29e24a9631346ba59d7d3e9c,multi_line,,bar_line_combination_out_of_scope,
construction,a387be9d12b99ee9861d4ad84c3eb40ecf8614a79dee0e19d44b8c41494cbc05,multi_line,,bar_line_combination_out_of_scope,
